NAME,B03001_005E,state,year
Alabama,23911,01,2021
Alaska,7739,02,2021
Arizona,51651,04,2021
Arkansas,8302,05,2021
California,230981,06,2021
Colorado,37631,08,2021
Connecticut,298272,09,2021
Delaware,28396,10,2021
District of Columbia,6203,11,2021
Florida,1186681,12,2021
Georgia,114013,13,2021
Hawaii,53050,15,2021
Idaho,6356,16,2021
Illinois,204867,17,2021
Indiana,47024,18,2021
Iowa,8968,19,2021
Kansas,14402,20,2021
Kentucky,17865,21,2021
Louisiana,14469,22,2021
Maine,5901,23,2021
Maryland,61144,24,2021
Massachusetts,332682,25,2021
Michigan,50931,26,2021
Minnesota,17005,27,2021
Mississippi,10096,28,2021
Missouri,19702,29,2021
Montana,2054,30,2021
Nebraska,7009,31,2021
Nevada,29605,32,2021
New Hampshire,18359,33,2021
New Jersey,483170,34,2021
New Mexico,10666,35,2021
New York,1090033,36,2021
North Carolina,118113,37,2021
North Dakota,3684,38,2021
Ohio,137966,39,2021
Oklahoma,16068,40,2021
Oregon,15171,41,2021
Pennsylvania,479824,42,2021
Rhode Island,47087,44,2021
South Carolina,40775,45,2021
South Dakota,3054,46,2021
Tennessee,34421,47,2021
Texas,228286,48,2021
Utah,12716,49,2021
Vermont,2250,50,2021
Virginia,108327,51,2021
Washington,39291,53,2021
West Virginia,6250,54,2021
Wisconsin,63813,55,2021
Wyoming,1232,56,2021
Puerto Rico,3163894,72,2021
