NAME,median_home_value,state,year
Alabama,164300,01,2023
Alaska,323000,02,2023
Arizona,282400,04,2023
Arkansas,164400,05,2023
California,543400,06,2023
Colorado,403200,08,2023
Connecticut,283700,09,2023
Delaware,263000,10,2023
District of Columbia,672200,11,2023
Florida,341500,12,2023
Georgia,258700,13,2023
Hawaii,753800,15,2023
Idaho,292200,16,2023
Illinois,245200,17,2023
Indiana,170300,18,2023
Iowa,144000,19,2023
Kansas,131300,20,2023
Kentucky,197400,21,2023
Louisiana,215900,22,2023
Maine,287700,23,2023
Maryland,392100,24,2023
Massachusetts,452700,25,2023
Michigan,170100,26,2023
Minnesota,260300,27,2023
Mississippi,145300,28,2023
Missouri,184200,29,2023
Montana,303700,30,2023
Nebraska,163000,31,2023
Nevada,349100,32,2023
New Hampshire,364400,33,2023
New Jersey,393500,34,2023
New Mexico,201900,35,2023
New York,503300,36,2023
North Carolina,217600,37,2023
North Dakota,213900,38,2023
Ohio,168500,39,2023
Oklahoma,141800,40,2023
Oregon,377600,41,2023
Pennsylvania,202600,42,2023
Rhode Island,313800,44,2023
South Carolina,214500,45,2023
South Dakota,201600,46,2023
Tennessee,244400,47,2023
Texas,191300,48,2023
Utah,383500,49,2023
Vermont,348200,50,2023
Virginia,401500,51,2023
Washington,385600,53,2023
West Virginia,225300,54,2023
Wisconsin,194500,55,2023
Wyoming,241300,56,2023
Puerto Rico,124300,72,2023
