NAME,total_population,median_age,state,year
Florida,514041,47,12,2021
New York,248251,61,36,2021
Pennsylvania,142252,46,42,2021
Massachusetts,129490,45,25,2021
New Jersey,126155,57,34,2021
Texas,105370,39,48,2021
Connecticut,93883,46,09,2021
Illinois,48734,57,17,2021
Ohio,40907,42,39,2021
California,40304,51,06,2021
North Carolina,40090,42,37,2021
Georgia,38120,41,13,2021
Virginia,35321,42,51,2021
Wisconsin,20897,42,55,2021
Maryland,16457,42,24,2021
Rhode Island,14008,41,44,2021
South Carolina,12723,48,45,2021
Colorado,12333,30,08,2021
Michigan,11498,44,26,2021
Indiana,11437,49,18,2021
Arizona,11367,48,04,2021
Tennessee,9825,43,47,2021
Washington,8973,40,53,2021
Oklahoma,7534,45,40,2021
Delaware,7308,44,10,2021
Alabama,6989,43,01,2021
Kansas,6263,37,20,2021
New Hampshire,5730,48,33,2021
Nevada,4944,35,32,2021
Minnesota,4106,40,27,2021
Missouri,3979,44,29,2021
Nebraska,3752,31,31,2021
Kentucky,3715,36,21,2021
Louisiana,3582,36,22,2021
District of Columbia,3503,40,11,2021
Oregon,3481,51,41,2021
Mississippi,3390,38,28,2021
Hawaii,3084,34,15,2021
New Mexico,2578,40,35,2021
Iowa,2328,24,19,2021
North Dakota,2252,29,38,2021
South Dakota,2250,25,46,2021
Arkansas,2217,48,05,2021
Idaho,1786,55,16,2021
Utah,1675,58,49,2021
West Virginia,1671,35,54,2021
Alaska,663,29,02,2021
Maine,503,47,23,2021
Wyoming,456,64,56,2021
Vermont,440,73,50,2021
Montana,348,71,30,2021
